"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0009145"	"purine nucleoside triphosphate biosynthetic process"	"3/22"	"11/3394"	3.77377252086102e-05	0.00325802360967668	0.00299253540250734	"atpA/atpD/atpG"	3
"GO:0009205"	"purine ribonucleoside triphosphate metabolic process"	"3/22"	"11/3394"	3.77377252086102e-05	0.00325802360967668	0.00299253540250734	"atpA/atpD/atpG"	3
"GO:0009206"	"purine ribonucleoside triphosphate biosynthetic process"	"3/22"	"11/3394"	3.77377252086102e-05	0.00325802360967668	0.00299253540250734	"atpA/atpD/atpG"	3
"GO:0009144"	"purine nucleoside triphosphate metabolic process"	"3/22"	"14/3394"	8.22070133533126e-05	0.00425832329170159	0.00391132316165235	"atpA/atpD/atpG"	3
"GO:0009201"	"ribonucleoside triphosphate biosynthetic process"	"3/22"	"14/3394"	8.22070133533126e-05	0.00425832329170159	0.00391132316165235	"atpA/atpD/atpG"	3
"GO:0009199"	"ribonucleoside triphosphate metabolic process"	"3/22"	"15/3394"	0.000102327171949775	0.00441712292249861	0.00405718260713142	"atpA/atpD/atpG"	3
"GO:0009142"	"nucleoside triphosphate biosynthetic process"	"3/22"	"17/3394"	0.000151646693562485	0.00561092766181195	0.00515370717971754	"atpA/atpD/atpG"	3
"GO:0009141"	"nucleoside triphosphate metabolic process"	"3/22"	"21/3394"	0.000291652524773083	0.00759310501179824	0.00697436184786183	"atpA/atpD/atpG"	3
"GO:0009165"	"nucleotide biosynthetic process"	"5/22"	"96/3394"	0.000293170077675608	0.00759310501179824	0.00697436184786183	"atpA/atpD/atpG/nrdA/nrdB"	5
"GO:1901293"	"nucleoside phosphate biosynthetic process"	"5/22"	"96/3394"	0.000293170077675608	0.00759310501179824	0.00697436184786183	"atpA/atpD/atpG/nrdA/nrdB"	5
"GO:0009117"	"nucleotide metabolic process"	"5/22"	"146/3394"	0.00200061447090019	0.0471053770875591	0.0432668775524827	"atpA/atpD/atpG/nrdA/nrdB"	5
"GO:0006753"	"nucleoside phosphate metabolic process"	"5/22"	"150/3394"	0.00225559536569878	0.0486832666429988	0.0447161888287654	"atpA/atpD/atpG/nrdA/nrdB"	5
"GO:0009152"	"purine ribonucleotide biosynthetic process"	"3/22"	"46/3394"	0.00299665644828388	0.0554399804771841	0.0509223149272246	"atpA/atpD/atpG"	3
"GO:0009263"	"deoxyribonucleotide biosynthetic process"	"2/22"	"13/3394"	0.00299675570146941	0.0554399804771841	0.0509223149272246	"nrdA/nrdB"	2
"GO:0006164"	"purine nucleotide biosynthetic process"	"3/22"	"50/3394"	0.00380473248453251	0.0656950475662614	0.0603417222108314	"atpA/atpD/atpG"	3
"GO:0046034"	"ATP metabolic process"	"3/22"	"52/3394"	0.00425414721773867	0.0688640080871448	0.0632524520532198	"atpA/atpD/atpG"	3
"GO:0072522"	"purine-containing compound biosynthetic process"	"3/22"	"55/3394"	0.00498689873033642	0.0740124324209031	0.0679813441460033	"atpA/atpD/atpG"	3
"GO:0009262"	"deoxyribonucleotide metabolic process"	"2/22"	"17/3394"	0.0051437211721091	0.0740124324209031	0.0679813441460033	"nrdA/nrdB"	2
"GO:0009260"	"ribonucleotide biosynthetic process"	"3/22"	"60/3394"	0.00636962954970362	0.0851334334339219	0.0781961225607248	"atpA/atpD/atpG"	3
"GO:0090407"	"organophosphate biosynthetic process"	"5/22"	"192/3394"	0.00657401030377775	0.0851334334339219	0.0781961225607248	"atpA/atpD/atpG/nrdA/nrdB"	5
"GO:0046390"	"ribose phosphate biosynthetic process"	"3/22"	"63/3394"	0.00729923630218853	0.0897805781396084	0.0824645830504024	"atpA/atpD/atpG"	3
"GO:0006260"	"DNA replication"	"3/22"	"64/3394"	0.00762614949448411	0.0897805781396084	0.0824645830504024	"nrdA/nrdB/prlC"	3
"GO:0015949"	"nucleobase-containing small molecule interconversion"	"2/22"	"23/3394"	0.00934644200173425	0.105249064280399	0.0966725808875031	"nrdA/nrdB"	2
"GO:0009150"	"purine ribonucleotide metabolic process"	"3/22"	"76/3394"	0.0122361231306339	0.132048162118091	0.121287887172073	"atpA/atpD/atpG"	3
"GO:0055086"	"nucleobase-containing small molecule metabolic process"	"5/22"	"230/3394"	0.0138985110837524	0.143988574827675	0.132255305470654	"atpA/atpD/atpG/nrdA/nrdB"	5
"GO:0006163"	"purine nucleotide metabolic process"	"3/22"	"82/3394"	0.0150316359514622	0.149738219670335	0.137536426114593	"atpA/atpD/atpG"	3
"GO:1901137"	"carbohydrate derivative biosynthetic process"	"5/22"	"251/3394"	0.0197275654624522	0.189238498325004	0.173817925712054	"atpA/atpD/atpG/nrdA/nrdB"	5
"GO:0009259"	"ribonucleotide metabolic process"	"3/22"	"93/3394"	0.0210341333637195	0.194565733614406	0.178711057902279	"atpA/atpD/atpG"	3
"GO:0015807"	"L-amino acid transport"	"2/22"	"36/3394"	0.0221207741591826	0.197561396800975	0.181462611977323	"frlA/sdaC"	2
"GO:0019693"	"ribose phosphate metabolic process"	"3/22"	"99/3394"	0.0247937466123005	0.214052679086194	0.196610060855435	"atpA/atpD/atpG"	3
"GO:0072521"	"purine-containing compound metabolic process"	"3/22"	"103/3394"	0.0274917588223347	0.229689210805957	0.210972410656966	"atpA/atpD/atpG"	3
"GO:0019637"	"organophosphate metabolic process"	"5/22"	"289/3394"	0.0340678427148808	0.275736601973566	0.253267514919838	"atpA/atpD/atpG/nrdA/nrdB"	5
"GO:1901135"	"carbohydrate derivative metabolic process"	"6/22"	"395/3394"	0.0351900350789669	0.276188457134922	0.253682549532584	"atpA/atpD/atpG/frlA/nrdA/nrdB"	6
"GO:0031325"	"positive regulation of cellular metabolic process"	"3/22"	"131/3394"	0.050637688951728	0.328824678424832	0.30202957660643	"glgS/pdhR/phoP"	3
"GO:0009893"	"positive regulation of metabolic process"	"3/22"	"137/3394"	0.0565461378265377	0.328824678424832	0.30202957660643	"glgS/pdhR/phoP"	3
"GO:0090609"	"single-species submerged biofilm formation"	"2/22"	"60/3394"	0.0566142697279644	0.328824678424832	0.30202957660643	"glgS/sfmH"	2
"GO:1902600"	"proton transmembrane transport"	"2/22"	"60/3394"	0.0566142697279644	0.328824678424832	0.30202957660643	"atpA/atpD"	2
"GO:0003333"	"amino acid transmembrane transport"	"2/22"	"61/3394"	0.0583072606641916	0.328824678424832	0.30202957660643	"frlA/sdaC"	2
"GO:0019290"	"siderophore biosynthetic process"	"1/22"	"10/3394"	0.0630430412196603	0.328824678424832	0.30202957660643	"entE"	1
"GO:1900231"	"regulation of single-species biofilm formation on inanimate substrate"	"1/22"	"10/3394"	0.0630430412196603	0.328824678424832	0.30202957660643	"glgS"	1
"GO:1901336"	"lactone biosynthetic process"	"1/22"	"10/3394"	0.0630430412196603	0.328824678424832	0.30202957660643	"entE"	1
"GO:0090605"	"submerged biofilm formation"	"2/22"	"65/3394"	0.0652553318912244	0.328824678424832	0.30202957660643	"glgS/sfmH"	2
"GO:0006109"	"regulation of carbohydrate metabolic process"	"1/22"	"11/3394"	0.0691343689658684	0.328824678424832	0.30202957660643	"glgS"	1
"GO:0009237"	"siderophore metabolic process"	"1/22"	"11/3394"	0.0691343689658684	0.328824678424832	0.30202957660643	"entE"	1
