"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0006549"	"isoleucine metabolic process"	"2/47"	"10/1467"	0.0383850516875357	1	1	"ilvA/ilvD"	2
"GO:0009097"	"isoleucine biosynthetic process"	"2/47"	"10/1467"	0.0383850516875357	1	1	"ilvA/ilvD"	2
"GO:0009081"	"branched-chain amino acid metabolic process"	"2/47"	"17/1467"	0.100720994726879	1	1	"ilvA/ilvD"	2
"GO:0009082"	"branched-chain amino acid biosynthetic process"	"2/47"	"17/1467"	0.100720994726879	1	1	"ilvA/ilvD"	2
"GO:0009068"	"aspartate family amino acid catabolic process"	"2/47"	"20/1467"	0.132540487461692	1	1	"ilvA/ldcC"	2
"GO:0008654"	"phospholipid biosynthetic process"	"3/47"	"51/1467"	0.221954340579663	1	1	"ispG/lpxM/plsB"	3
"GO:0010038"	"response to metal ion"	"2/47"	"29/1467"	0.237324738427983	1	1	"cueO/mscK"	2
"GO:0006644"	"phospholipid metabolic process"	"3/47"	"53/1467"	0.23922960381042	1	1	"ispG/lpxM/plsB"	3
"GO:0009066"	"aspartate family amino acid metabolic process"	"3/47"	"57/1467"	0.274447246297001	1	1	"asnB/ilvA/ldcC"	3
"GO:0006721"	"terpenoid metabolic process"	"1/47"	"10/1467"	0.278660982419518	1	1	"ispG"	1
"GO:0016114"	"terpenoid biosynthetic process"	"1/47"	"10/1467"	0.278660982419518	1	1	"ispG"	1
"GO:0006090"	"pyruvate metabolic process"	"2/47"	"33/1467"	0.285702617534865	1	1	"ispG/ppsA"	2
"GO:0009423"	"chorismate biosynthetic process"	"1/47"	"11/1467"	0.30192998298663	1	1	"aroH"	1
"GO:0009063"	"cellular amino acid catabolic process"	"3/47"	"62/1467"	0.319234474741532	1	1	"asnB/ilvA/ldcC"	3
"GO:0006567"	"threonine catabolic process"	"1/47"	"12/1467"	0.324463836557804	1	1	"ilvA"	1
"GO:0009246"	"enterobacterial common antigen biosynthetic process"	"1/47"	"12/1467"	0.324463836557804	1	1	"wecE"	1
