"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0006073"	"cellular glucan metabolic process"	"3/106"	"11/1467"	0.0394904797306093	1	1	"glgC/malP/malQ"	3
"GO:0044042"	"glucan metabolic process"	"3/106"	"12/1467"	0.0499504740356011	1	1	"glgC/malP/malQ"	3
"GO:0006637"	"acyl-CoA metabolic process"	"3/106"	"14/1467"	0.0744215141324833	1	1	"accC/sucB/sucC"	3
"GO:0035383"	"thioester metabolic process"	"3/106"	"14/1467"	0.0744215141324833	1	1	"accC/sucB/sucC"	3
"GO:0006099"	"tricarboxylic acid cycle"	"4/106"	"25/1467"	0.100609469315333	1	1	"sdhA/sdhB/sucB/sucC"	4
"GO:0000272"	"polysaccharide catabolic process"	"2/106"	"10/1467"	0.159304959951425	1	1	"malP/malQ"	2
"GO:0009060"	"aerobic respiration"	"6/106"	"54/1467"	0.189836355776923	1	1	"hycC/nuoG/sdhA/sdhB/sucB/sucC"	6
"GO:0015980"	"energy derivation by oxidation of organic compounds"	"11/106"	"115/1467"	0.201124795298136	1	1	"glgC/hybC/hycC/malP/malQ/narY/nuoG/sdhA/sdhB/sucB/sucC"	11
"GO:0033865"	"nucleoside bisphosphate metabolic process"	"3/106"	"22/1467"	0.208804133848434	1	1	"accC/sucB/sucC"	3
"GO:0033875"	"ribonucleoside bisphosphate metabolic process"	"3/106"	"22/1467"	0.208804133848434	1	1	"accC/sucB/sucC"	3
"GO:0034032"	"purine nucleoside bisphosphate metabolic process"	"3/106"	"22/1467"	0.208804133848434	1	1	"accC/sucB/sucC"	3
"GO:0009445"	"putrescine metabolic process"	"2/106"	"13/1467"	0.240674108526718	1	1	"puuP/speF"	2
"GO:0022904"	"respiratory electron transport chain"	"4/106"	"36/1467"	0.259502267198747	1	1	"hycC/narY/nuoG/sdhB"	4
"GO:0006040"	"amino sugar metabolic process"	"2/106"	"17/1467"	0.350931905522075	1	1	"frlA/nanA"	2
"GO:0006119"	"oxidative phosphorylation"	"2/106"	"17/1467"	0.350931905522075	1	1	"hycC/nuoG"	2
"GO:0006595"	"polyamine metabolic process"	"2/106"	"17/1467"	0.350931905522075	1	1	"puuP/speF"	2
"GO:0009310"	"amine catabolic process"	"2/106"	"17/1467"	0.350931905522075	1	1	"eutD/puuP"	2
"GO:0042402"	"cellular biogenic amine catabolic process"	"2/106"	"17/1467"	0.350931905522075	1	1	"eutD/puuP"	2
"GO:0006576"	"cellular biogenic amine metabolic process"	"3/106"	"31/1467"	0.390803870521097	1	1	"eutD/puuP/speF"	3
"GO:0009308"	"amine metabolic process"	"3/106"	"31/1467"	0.390803870521097	1	1	"eutD/puuP/speF"	3
"GO:0044106"	"cellular amine metabolic process"	"3/106"	"31/1467"	0.390803870521097	1	1	"eutD/puuP/speF"	3
"GO:0006553"	"lysine metabolic process"	"2/106"	"19/1467"	0.404296673590694	1	1	"ldcC/sucB"	2
"GO:0009068"	"aspartate family amino acid catabolic process"	"2/106"	"20/1467"	0.430212131526322	1	1	"ldcC/sucB"	2
"GO:0045333"	"cellular respiration"	"8/106"	"100/1467"	0.436874806443155	1	1	"hybC/hycC/narY/nuoG/sdhA/sdhB/sucB/sucC"	8
"GO:0006970"	"response to osmotic stress"	"2/106"	"22/1467"	0.480203588558361	1	1	"betA/betB"	2
"GO:0022900"	"electron transport chain"	"6/106"	"78/1467"	0.500971633349424	1	1	"dsbD/hycC/narY/nuoG/sdhA/sdhB"	6
"GO:0009057"	"macromolecule catabolic process"	"2/106"	"24/1467"	0.527462291981393	1	1	"malP/malQ"	2
"GO:0009084"	"glutamine family amino acid biosynthetic process"	"2/106"	"24/1467"	0.527462291981393	1	1	"argH/proA"	2
"GO:0042398"	"cellular modified amino acid biosynthetic process"	"2/106"	"24/1467"	0.527462291981393	1	1	"betA/betB"	2
"GO:0006598"	"polyamine catabolic process"	"1/106"	"10/1467"	0.528764637584712	1	1	"puuP"	1
"GO:0009313"	"oligosaccharide catabolic process"	"1/106"	"10/1467"	0.528764637584712	1	1	"malQ"	1
"GO:0019860"	"uracil metabolic process"	"1/106"	"10/1467"	0.528764637584712	1	1	"preA"	1
"GO:0048523"	"negative regulation of cellular process"	"1/106"	"10/1467"	0.528764637584712	1	1	"accC"	1
"GO:0048870"	"cell motility"	"1/106"	"10/1467"	0.528764637584712	1	1	"preA"	1
"GO:0051674"	"localization of cell"	"1/106"	"10/1467"	0.528764637584712	1	1	"preA"	1
"GO:0071248"	"cellular response to metal ion"	"1/106"	"10/1467"	0.528764637584712	1	1	"mgtA"	1
"GO:0051301"	"cell division"	"2/106"	"25/1467"	0.549995395629434	1	1	"dacA/pbpG"	2
"GO:0006091"	"generation of precursor metabolites and energy"	"12/106"	"167/1467"	0.557769672396142	1	1	"dsbD/glgC/hybC/hycC/malP/malQ/narY/nuoG/sdhA/sdhB/sucB/sucC"	12
"GO:0000302"	"response to reactive oxygen species"	"1/106"	"11/1467"	0.563048061343134	1	1	"katG"	1
"GO:0005984"	"disaccharide metabolic process"	"1/106"	"11/1467"	0.563048061343134	1	1	"malQ"	1
"GO:0006928"	"movement of cell or subcellular component"	"1/106"	"11/1467"	0.563048061343134	1	1	"preA"	1
"GO:0009229"	"thiamine diphosphate biosynthetic process"	"1/106"	"11/1467"	0.563048061343134	1	1	"thiC"	1
"GO:0010447"	"response to acidic pH"	"1/106"	"11/1467"	0.563048061343134	1	1	"speF"	1
"GO:0015803"	"branched-chain amino acid transport"	"1/106"	"11/1467"	0.563048061343134	1	1	"brnQ"	1
"GO:0015851"	"nucleobase transport"	"1/106"	"11/1467"	0.563048061343134	1	1	"xanQ"	1
"GO:0042357"	"thiamine diphosphate metabolic process"	"1/106"	"11/1467"	0.563048061343134	1	1	"thiC"	1
"GO:0071241"	"cellular response to inorganic substance"	"1/106"	"11/1467"	0.563048061343134	1	1	"mgtA"	1
"GO:0010035"	"response to inorganic substance"	"3/106"	"41/1467"	0.579538215114771	1	1	"dsbD/katG/mgtA"	3
"GO:0006208"	"pyrimidine nucleobase catabolic process"	"1/106"	"12/1467"	0.594859122811285	1	1	"preA"	1
"GO:0009228"	"thiamine biosynthetic process"	"1/106"	"12/1467"	0.594859122811285	1	1	"thiC"	1
"GO:0015847"	"putrescine transport"	"1/106"	"12/1467"	0.594859122811285	1	1	"puuP"	1
"GO:0045454"	"cell redox homeostasis"	"1/106"	"12/1467"	0.594859122811285	1	1	"dsbD"	1
"GO:1901701"	"cellular response to oxygen-containing compound"	"1/106"	"12/1467"	0.594859122811285	1	1	"katG"	1
"GO:0006526"	"arginine biosynthetic process"	"1/106"	"13/1467"	0.624374540668332	1	1	"argH"	1
"GO:0009309"	"amine biosynthetic process"	"1/106"	"13/1467"	0.624374540668332	1	1	"speF"	1
"GO:0042401"	"cellular biogenic amine biosynthetic process"	"1/106"	"13/1467"	0.624374540668332	1	1	"speF"	1
"GO:0042724"	"thiamine-containing compound biosynthetic process"	"1/106"	"13/1467"	0.624374540668332	1	1	"thiC"	1
"GO:0071214"	"cellular response to abiotic stimulus"	"1/106"	"13/1467"	0.624374540668332	1	1	"speF"	1
"GO:0104004"	"cellular response to environmental stimulus"	"1/106"	"13/1467"	0.624374540668332	1	1	"speF"	1
"GO:0010038"	"response to metal ion"	"2/106"	"29/1467"	0.632517886281814	1	1	"dsbD/mgtA"	2
"GO:1902475"	"L-alpha-amino acid transmembrane transport"	"2/106"	"30/1467"	0.651234506642206	1	1	"brnQ/frlA"	2
"GO:0006772"	"thiamine metabolic process"	"1/106"	"14/1467"	0.651758515007505	1	1	"thiC"	1
"GO:0009268"	"response to pH"	"1/106"	"14/1467"	0.651758515007505	1	1	"speF"	1
"GO:0009408"	"response to heat"	"1/106"	"14/1467"	0.651758515007505	1	1	"eutD"	1
"GO:0018215"	"protein phosphopantetheinylation"	"1/106"	"14/1467"	0.651758515007505	1	1	"sucB"	1
"GO:0019645"	"anaerobic electron transport chain"	"1/106"	"14/1467"	0.651758515007505	1	1	"narY"	1
"GO:0033866"	"nucleoside bisphosphate biosynthetic process"	"1/106"	"14/1467"	0.651758515007505	1	1	"accC"	1
"GO:0034030"	"ribonucleoside bisphosphate biosynthetic process"	"1/106"	"14/1467"	0.651758515007505	1	1	"accC"	1
"GO:0034033"	"purine nucleoside bisphosphate biosynthetic process"	"1/106"	"14/1467"	0.651758515007505	1	1	"accC"	1
"GO:0042723"	"thiamine-containing compound metabolic process"	"1/106"	"14/1467"	0.651758515007505	1	1	"thiC"	1
"GO:0048519"	"negative regulation of biological process"	"1/106"	"14/1467"	0.651758515007505	1	1	"accC"	1
"GO:0009063"	"cellular amino acid catabolic process"	"4/106"	"62/1467"	0.669076103107195	1	1	"asnB/frlA/ldcC/sucB"	4
"GO:0015846"	"polyamine transport"	"1/106"	"15/1467"	0.677163606135657	1	1	"puuP"	1
"GO:0034309"	"primary alcohol biosynthetic process"	"1/106"	"15/1467"	0.677163606135657	1	1	"thiC"	1
"GO:0034599"	"cellular response to oxidative stress"	"1/106"	"15/1467"	0.677163606135657	1	1	"katG"	1
"GO:0040011"	"locomotion"	"1/106"	"15/1467"	0.677163606135657	1	1	"preA"	1
"GO:0042126"	"nitrate metabolic process"	"1/106"	"15/1467"	0.677163606135657	1	1	"narY"	1
"GO:0042128"	"nitrate assimilation"	"1/106"	"15/1467"	0.677163606135657	1	1	"narY"	1
"GO:0034308"	"primary alcohol metabolic process"	"2/106"	"32/1467"	0.686410528207234	1	1	"eutD/thiC"	2
"GO:0006541"	"glutamine metabolic process"	"1/106"	"16/1467"	0.700731552244211	1	1	"asnB"	1
"GO:0009889"	"regulation of biosynthetic process"	"1/106"	"16/1467"	0.700731552244211	1	1	"accC"	1
"GO:0031326"	"regulation of cellular biosynthetic process"	"1/106"	"16/1467"	0.700731552244211	1	1	"accC"	1
"GO:0071805"	"potassium ion transmembrane transport"	"1/106"	"16/1467"	0.700731552244211	1	1	"kdpA"	1
"GO:0098869"	"cellular oxidant detoxification"	"1/106"	"16/1467"	0.700731552244211	1	1	"katG"	1
"GO:0009064"	"glutamine family amino acid metabolic process"	"3/106"	"50/1467"	0.714969164383094	1	1	"argH/asnB/proA"	3
"GO:0071941"	"nitrogen cycle metabolic process"	"1/106"	"17/1467"	0.722594030164344	1	1	"narY"	1
"GO:0003333"	"amino acid transmembrane transport"	"3/106"	"51/1467"	0.727750434429523	1	1	"brnQ/frlA/proY"	3
"GO:0043603"	"cellular amide metabolic process"	"5/106"	"83/1467"	0.732309739289547	1	1	"accC/asnB/nanA/sucB/sucC"	5
"GO:0015807"	"L-amino acid transport"	"2/106"	"35/1467"	0.733722239412051	1	1	"brnQ/frlA"	2
"GO:0006813"	"potassium ion transport"	"1/106"	"18/1467"	0.74287336313164	1	1	"kdpA"	1
"GO:0009266"	"response to temperature stimulus"	"1/106"	"18/1467"	0.74287336313164	1	1	"eutD"	1
"GO:0046165"	"alcohol biosynthetic process"	"1/106"	"18/1467"	0.74287336313164	1	1	"thiC"	1
"GO:0080090"	"regulation of primary metabolic process"	"1/106"	"18/1467"	0.74287336313164	1	1	"accC"	1
"GO:2001057"	"reactive nitrogen species metabolic process"	"1/106"	"18/1467"	0.74287336313164	1	1	"narY"	1
"GO:0006508"	"proteolysis"	"2/106"	"36/1467"	0.748103042369196	1	1	"dacA/pbpG"	2
"GO:0044275"	"cellular carbohydrate catabolic process"	"3/106"	"53/1467"	0.751980617372832	1	1	"malP/malQ/yagF"	3
"GO:0006869"	"lipid transport"	"1/106"	"19/1467"	0.761683179217248	1	1	"lptB"	1
"GO:0009314"	"response to radiation"	"1/106"	"19/1467"	0.761683179217248	1	1	"betB"	1
"GO:0010876"	"lipid localization"	"1/106"	"19/1467"	0.761683179217248	1	1	"lptB"	1
"GO:0046176"	"aldonic acid catabolic process"	"1/106"	"19/1467"	0.761683179217248	1	1	"yagF"	1
"GO:0000902"	"cell morphogenesis"	"2/106"	"37/1467"	0.761819718397322	1	1	"dacA/pbpG"	2
"GO:0008360"	"regulation of cell shape"	"2/106"	"37/1467"	0.761819718397322	1	1	"dacA/pbpG"	2
"GO:0009653"	"anatomical structure morphogenesis"	"2/106"	"37/1467"	0.761819718397322	1	1	"dacA/pbpG"	2
"GO:0022603"	"regulation of anatomical structure morphogenesis"	"2/106"	"37/1467"	0.761819718397322	1	1	"dacA/pbpG"	2
"GO:0022604"	"regulation of cell morphogenesis"	"2/106"	"37/1467"	0.761819718397322	1	1	"dacA/pbpG"	2
"GO:0048856"	"anatomical structure development"	"2/106"	"37/1467"	0.761819718397322	1	1	"dacA/pbpG"	2
"GO:0050793"	"regulation of developmental process"	"2/106"	"37/1467"	0.761819718397322	1	1	"dacA/pbpG"	2
