From	To	Species	Gene Name
b4054	tyrB	Escherichia coli str. K-12 substr. MG1655	tyrosine aminotransferase(tyrB)
b4053	alr	Escherichia coli str. K-12 substr. MG1655	alanine racemase 1(alr)
b4298	yjhH	Escherichia coli str. K-12 substr. MG1655	putative 2-dehydro-3-deoxy-D-pentonate aldolase(yjhH)
b4055	aphA	Escherichia coli str. K-12 substr. MG1655	acid phosphatase/phosphotransferase(aphA)
b4297	yjhG	Escherichia coli str. K-12 substr. MG1655	D-xylonate dehydratase(yjhG)
b4291	fecA	Escherichia coli str. K-12 substr. MG1655	ferric citrate outer membrane transporter(fecA)
b0929	ompF	Escherichia coli str. K-12 substr. MG1655	outer membrane porin F(ompF)
b4290	fecB	Escherichia coli str. K-12 substr. MG1655	ferric citrate ABC transporter periplasmic binding protein(fecB)
b0928	aspC	Escherichia coli str. K-12 substr. MG1655	aspartate aminotransferase(aspC)
b0925	ldtD	Escherichia coli str. K-12 substr. MG1655	L,D-transpeptidase LdtD(ldtD)
b4289	fecC	Escherichia coli str. K-12 substr. MG1655	ferric citrate ABC transporter membrane subunit FecC(fecC)
b3199	lptC	Escherichia coli str. K-12 substr. MG1655	lipopolysaccharide transport system protein LptC(lptC)
b4288	fecD	Escherichia coli str. K-12 substr. MG1655	ferric citrate ABC transporter membrane subunit FecD(fecD)
b4042	dgkA	Escherichia coli str. K-12 substr. MG1655	diacylglycerol kinase(dgkA)
b3196	yrbG	Escherichia coli str. K-12 substr. MG1655	putative transport protein YrbG(yrbG)
b4287	fecE	Escherichia coli str. K-12 substr. MG1655	ferric citrate ABC transporter ATP binding subunit(fecE)
b3197	kdsD	Escherichia coli str. K-12 substr. MG1655	D-arabinose 5-phosphate isomerase KdsD(kdsD)
b3198	kdsC	Escherichia coli str. K-12 substr. MG1655	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC(kdsC)
b4041	plsB	Escherichia coli str. K-12 substr. MG1655	glycerol-3-phosphate 1-O-acyltransferase(plsB)
b4040	ubiA	Escherichia coli str. K-12 substr. MG1655	4-hydroxybenzoate octaprenyltransferase(ubiA)
b0918	kdsB	Escherichia coli str. K-12 substr. MG1655	3-deoxy-manno-octulosonate cytidylyltransferase(kdsB)
b0910	cmk	Escherichia coli str. K-12 substr. MG1655	cytidylate kinase(cmk)
b0915	lpxK	Escherichia coli str. K-12 substr. MG1655	tetraacyldisaccharide 4'-kinase(lpxK)
b0914	msbA	Escherichia coli str. K-12 substr. MG1655	ATP-binding lipopolysaccharide transport protein(msbA)
b4039	ubiC	Escherichia coli str. K-12 substr. MG1655	chorismate lyase(ubiC)
b4036	lamB	Escherichia coli str. K-12 substr. MG1655	maltose outer membrane channel/phage lambda receptor protein(lamB)
b4035	malK	Escherichia coli str. K-12 substr. MG1655	maltose ABC transporter ATP binding subunit(malK)
b3189	murA	Escherichia coli str. K-12 substr. MG1655	UDP-N-acetylglucosamine 1-carboxyvinyltransferase(murA)
b4032	malG	Escherichia coli str. K-12 substr. MG1655	maltose ABC transporter membrane subunit MalG(malG)
b2095	gatZ	Escherichia coli str. K-12 substr. MG1655	putative tagatose-1,6-bisphosphate aldolase 2 chaperone(gatZ)
b4031	xylE	Escherichia coli str. K-12 substr. MG1655	D-xylose:H(+) symporter(xylE)
b2096	gatY	Escherichia coli str. K-12 substr. MG1655	tagatose-1,6-bisphosphate aldolase 2(gatY)
b4034	malE	Escherichia coli str. K-12 substr. MG1655	maltose ABC transporter periplasmic binding protein(malE)
b2097	fbaB	Escherichia coli str. K-12 substr. MG1655	fructose-bisphosphate aldolase class I(fbaB)
b4033	malF	Escherichia coli str. K-12 substr. MG1655	maltose ABC transporter membrane subunit MalF(malF)
b3187	ispB	Escherichia coli str. K-12 substr. MG1655	all-trans-octaprenyl-diphosphate synthase(ispB)
b2091	gatD	Escherichia coli str. K-12 substr. MG1655	galactitol-1-phosphate 5-dehydrogenase(gatD)
b2092	gatC	Escherichia coli str. K-12 substr. MG1655	pseudo(gatC)
b2093	gatB	Escherichia coli str. K-12 substr. MG1655	galactitol-specific PTS enzyme IIB component(gatB)
b3182	dacB	Escherichia coli str. K-12 substr. MG1655	peptidoglycan DD-endopeptidase DacB(dacB)
b2094	gatA	Escherichia coli str. K-12 substr. MG1655	galactitol-specific PTS enzyme IIA component(gatA)
b0908	aroA	Escherichia coli str. K-12 substr. MG1655	3-phosphoshikimate 1-carboxyvinyltransferase(aroA)
b0907	serC	Escherichia coli str. K-12 substr. MG1655	phosphoserine/phosphohydroxythreonine aminotransferase(serC)
b0905	ycaO	Escherichia coli str. K-12 substr. MG1655	ribosomal protein S12 methylthiotransferase accessory factor YcaO(ycaO)
b0904	focA	Escherichia coli str. K-12 substr. MG1655	formate channel FocA(focA)
b0903	pflB	Escherichia coli str. K-12 substr. MG1655	pyruvate formate-lyase(pflB)
b0902	pflA	Escherichia coli str. K-12 substr. MG1655	pyruvate formate-lyase activating enzyme(pflA)
b4025	pgi	Escherichia coli str. K-12 substr. MG1655	glucose-6-phosphate isomerase(pgi)
b4267	idnD	Escherichia coli str. K-12 substr. MG1655	L-idonate 5-dehydrogenase(idnD)
b3177	folP	Escherichia coli str. K-12 substr. MG1655	dihydropteroate synthase(folP)
b4024	lysC	Escherichia coli str. K-12 substr. MG1655	aspartate kinase III(lysC)
b4266	idnO	Escherichia coli str. K-12 substr. MG1655	5-keto-D-gluconate 5-reductase(idnO)
b4269	ahr	Escherichia coli str. K-12 substr. MG1655	NADPH-dependent aldehyde reductase Ahr(ahr)
b4268	idnK	Escherichia coli str. K-12 substr. MG1655	D-gluconate kinase, thermosensitive(idnK)
b4020	yjbB	Escherichia coli str. K-12 substr. MG1655	putative inorganic phosphate export protein YjbB(yjbB)
b4262	lptG	Escherichia coli str. K-12 substr. MG1655	lipopolysaccharide transport system protein LptG(lptG)
b4265	idnT	Escherichia coli str. K-12 substr. MG1655	L-idonate/5-ketogluconate/gluconate transporter(idnT)
b3176	glmM	Escherichia coli str. K-12 substr. MG1655	phosphoglucosamine mutase(glmM)
b4261	lptF	Escherichia coli str. K-12 substr. MG1655	lipopolysaccharide transport system protein LptF(lptF)
b4260	pepA	Escherichia coli str. K-12 substr. MG1655	aminopeptidase A/I(pepA)
b3172	argG	Escherichia coli str. K-12 substr. MG1655	argininosuccinate synthetase(argG)
b4019	metH	Escherichia coli str. K-12 substr. MG1655	cobalamin-dependent methionine synthase(metH)
b4014	aceB	Escherichia coli str. K-12 substr. MG1655	malate synthase A(aceB)
b4013	metA	Escherichia coli str. K-12 substr. MG1655	homoserine O-succinyltransferase(metA)
b4015	aceA	Escherichia coli str. K-12 substr. MG1655	isocitrate lyase(aceA)
b4098	phnJ	Escherichia coli str. K-12 substr. MG1655	carbon-phosphorus lyase core complex subunit PhnJ(phnJ)
b4099	phnI	Escherichia coli str. K-12 substr. MG1655	carbon-phosphorus lyase core complex subunit PhnI(phnI)
b4094	phnN	Escherichia coli str. K-12 substr. MG1655	ribose 1,5-bisphosphate phosphokinase(phnN)
b4093	phnO	Escherichia coli str. K-12 substr. MG1655	aminoalkylphosphonate N-acetyltransferase(phnO)
b4096	phnL	Escherichia coli str. K-12 substr. MG1655	methylphosphonate degradation complex subunit PhnL(phnL)
b4095	phnM	Escherichia coli str. K-12 substr. MG1655	RPnTP hydrolase(phnM)
b4090	rpiB	Escherichia coli str. K-12 substr. MG1655	allose-6-phosphate isomerase/ribose-5-phosphate isomerase B(rpiB)
b4092	phnP	Escherichia coli str. K-12 substr. MG1655	5-phospho-alpha-D-ribosyl 1,2-cyclic phosphate phosphodiesterase(phnP)
b0729	sucD	Escherichia coli str. K-12 substr. MG1655	succinyl-CoA synthetase subunit alpha(sucD)
b1818	manY	Escherichia coli str. K-12 substr. MG1655	mannose-specific PTS enzyme IIC component(manY)
