seqnames	start	end	width	strand	STRAND	PERCENTAJE	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
NC_000913.3	23735	23735	1	*	+	58.4507	Exon (ileS/b0026, exon 1 of 1)	1	22391	25207	2817	+	b0026	ileS	1344
NC_000913.3	23797	23797	1	*	+	50.9174	Exon (ileS/b0026, exon 1 of 1)	1	22391	25207	2817	+	b0026	ileS	1406
NC_000913.3	79559	79559	1	*	-	43.3566	Promoter	1	78848	79453	606	-	b0071	leuD	-106
NC_000913.3	79759	79759	1	*	-	34.4828	Promoter	1	78848	79453	606	-	b0071	leuD	-306
NC_000913.3	79559	79559	1	*	-	43.3566	Exon (leuC/b0072, exon 1 of 1)	1	79464	80864	1401	-	b0072	leuC	1305
NC_000913.3	79759	79759	1	*	-	34.4828	Exon (leuC/b0072, exon 1 of 1)	1	79464	80864	1401	-	b0072	leuC	1105
NC_000913.3	251753	251753	1	*	+	49.0536	Exon (dinB/b0231, exon 1 of 1)	1	250898	251953	1056	+	b0231	dinB	855
NC_000913.3	251854	251854	1	*	+	29.2899	Exon (dinB/b0231, exon 1 of 1)	1	250898	251953	1056	+	b0231	dinB	956
NC_000913.3	251753	251753	1	*	+	49.0536	Promoter	1	252005	252298	294	+	b0232	yafN	-252
NC_000913.3	251854	251854	1	*	+	29.2899	Promoter	1	252005	252298	294	+	b0232	yafN	-151
NC_000913.3	300508	300508	1	*	-	47.8261	Exon (paoC/b0284, exon 1 of 1)	1	298736	300934	2199	-	b0284	paoC	426
NC_000913.3	301059	301059	1	*	-	30.8571	Promoter	1	298736	300934	2199	-	b0284	paoC	-125
NC_000913.3	301059	301059	1	*	-	30.8571	Exon (paoB/b0285, exon 1 of 1)	1	300931	301887	957	-	b0285	paoB	828
NC_000913.3	302165	302165	1	*	-	37.1429	Promoter	1	300931	301887	957	-	b0285	paoB	-278
NC_000913.3	327491	327491	1	*	-	47.1698	Exon (betB/b0312, exon 1 of 1)	1	327261	328733	1473	-	b0312	betB	1242
NC_000913.3	328866	328866	1	*	-	26.4901	Promoter	1	327261	328733	1473	-	b0312	betB	-133
NC_000913.3	363888	363888	1	*	-	31.9767	Promoter	1	361926	363179	1254	-	b0343	lacY	-709
NC_000913.3	364155	364155	1	*	-	54.5455	Promoter	1	361926	363179	1254	-	b0343	lacY	-976
NC_000913.3	363888	363888	1	*	-	31.9767	Exon (lacZ/b0344, exon 1 of 1)	1	363231	366305	3075	-	b0344	lacZ	2417
NC_000913.3	364155	364155	1	*	-	54.5455	Exon (lacZ/b0344, exon 1 of 1)	1	363231	366305	3075	-	b0344	lacZ	2150
NC_000913.3	366580	366580	1	*	-	36	Promoter	1	363231	366305	3075	-	b0344	lacZ	-275
NC_000913.3	492782	492782	1	*	+	41.9753	Distal Intergenic	1	494076	494405	330	+	b0471	ybaB	-1294
NC_000913.3	492794	492794	1	*	+	34.104	Distal Intergenic	1	494076	494405	330	+	b0471	ybaB	-1282
NC_000913.3	512713	512713	1	*	+	41.5254	Exon (ybaT/b0486, exon 1 of 1)	1	512576	513868	1293	+	b0486	ybaT	137
NC_000913.3	513779	513779	1	*	+	51.7483	Exon (ybaT/b0486, exon 1 of 1)	1	512576	513868	1293	+	b0486	ybaT	1203
NC_000913.3	517730	517730	1	*	-	51.4286	Exon (cnoX/b0492, exon 1 of 1)	1	517425	518279	855	-	b0492	cnoX	549
NC_000913.3	518000	518000	1	*	-	53.7736	Exon (cnoX/b0492, exon 1 of 1)	1	517425	518279	855	-	b0492	cnoX	279
NC_000913.3	599299	599299	1	*	+	63.7681	Exon (cusA/b0575, exon 1 of 1)	1	598714	601857	3144	+	b0575	cusA	585
NC_000913.3	599863	599863	1	*	+	45.5357	Exon (cusA/b0575, exon 1 of 1)	1	598714	601857	3144	+	b0575	cusA	1149
NC_000913.3	686046	686046	1	*	-	45.0704	Exon (gltJ/b0654, exon 1 of 1)	1	685929	686669	741	-	b0654	gltJ	623
NC_000913.3	686318	686318	1	*	-	27.1739	Exon (gltJ/b0654, exon 1 of 1)	1	685929	686669	741	-	b0654	gltJ	351
NC_000913.3	727094	727094	1	*	-	46.4789	Promoter	1	724988	727036	2049	-	b0697	kdpB	-58
NC_000913.3	727390	727390	1	*	-	34.3137	Promoter	1	724988	727036	2049	-	b0697	kdpB	-354
NC_000913.3	727094	727094	1	*	-	46.4789	Exon (kdpA/b0698, exon 1 of 1)	1	727059	728732	1674	-	b0698	kdpA	1638
NC_000913.3	727390	727390	1	*	-	34.3137	Exon (kdpA/b0698, exon 1 of 1)	1	727059	728732	1674	-	b0698	kdpA	1342
NC_000913.3	727898	727898	1	*	-	53.4799	Exon (kdpA/b0698, exon 1 of 1)	1	727059	728732	1674	-	b0698	kdpA	834
NC_000913.3	852112	852112	1	*	-	31.7949	Exon (opgE/b0815, exon 1 of 1)	1	851014	852597	1584	-	b0815	opgE	485
NC_000913.3	852117	852117	1	*	-	33.3333	Exon (opgE/b0815, exon 1 of 1)	1	851014	852597	1584	-	b0815	opgE	480
NC_000913.3	895468	895468	1	*	+	29.4737	Exon (potG/b0855, exon 1 of 1)	1	894991	896124	1134	+	b0855	potG	477
NC_000913.3	896064	896064	1	*	+	41.2371	Exon (potG/b0855, exon 1 of 1)	1	894991	896124	1134	+	b0855	potG	1073
NC_000913.3	995439	995439	1	*	-	53.6232	Exon (ssuD/b0935, exon 1 of 1)	1	994843	995988	1146	-	b0935	ssuD	549
NC_000913.3	995718	995718	1	*	-	50	Exon (ssuD/b0935, exon 1 of 1)	1	994843	995988	1146	-	b0935	ssuD	270
NC_000913.3	1282314	1282314	1	*	+	45.3125	Exon (narG/b1224, exon 1 of 1)	1	1283604	1285142	1539	+	b1225	narH	-1290
NC_000913.3	1283751	1283751	1	*	+	33.8983	Exon (narH/b1225, exon 1 of 1)	1	1283604	1285142	1539	+	b1225	narH	147
NC_000913.3	1541675	1541675	1	*	-	48.3333	Exon (narZ/b1468, exon 1 of 1)	1	1538850	1542590	3741	-	b1468	narZ	915
NC_000913.3	1541898	1541898	1	*	-	40.8602	Exon (narZ/b1468, exon 1 of 1)	1	1538850	1542590	3741	-	b1468	narZ	692
NC_000913.3	1963499	1963499	1	*	-	54.902	Promoter	1	1962580	1962972	393	-	b1878	flhE	-527
NC_000913.3	1963865	1963865	1	*	-	51.4563	Promoter	1	1962580	1962972	393	-	b1878	flhE	-893
NC_000913.3	1963499	1963499	1	*	-	54.902	Exon (flhA/b1879, exon 1 of 1)	1	1962972	1965050	2079	-	b1879	flhA	1551
